Tree species,Yield class,Age,Main crop after thinning number of trees,Main crop after thinning top height (m),Main crop after thinning mean diameter (cm),Main crop after thinning basal area (m2),Main crop after thinning volume in cubic meters to top diameters of 7cm,Main crop after thinning volume in cubic meters to top diameters of 18cm,Main crop after thinning volume in cubic meters to top diameters of 24cm,Yield from thinnings number of trees,Yield from thinnings mean diameter (cm),Yield from thinnings mean volume per tree (m3),Yield from thinnings volume in cubic meters to top diameters of 7cm,Yield from thinnings volume in cubic meters to top diameters of 18cm,Yield from thinnings volume in cubic meters to top diameters of 24cm,Cumulative production basal area (m2),Cumulative production volume to 7cm (m3),Increment CAI basal area (m2),Increment CAI volume to 7cm (m3),Increment MAI volume to 7cm (m3)
Scots Pine,8,70,478,20.4,29.7,33.2,296,249,157,53,26.5,0.507,27,21,10,79.6,555,0.79,9.4,7.9
Scots Pine,8,75,439,21.2,31.6,34.3,317,277,195,39,28.4,0.602,24,19,11,83.2,600,0.68,8.4,8
Scots Pine,8,80,408,21.9,33.2,35.3,335,300,226,31,30.2,0.706,21,18,12,86.4,639,0.57,7.3,8
Scots Pine,8,85,382,22.5,24.6,35.8,351,320,252,26,31.6,0.7,18,16,11,88.9,672,0.47,6.3,7.9
Scots Pine,8,90,364,23,35.7,36.5,365,336,273,18,32.9,0.839,15,13,10,91.1,701,0.41,5.5,7.8
Scots Pine,8,95,350,23.4,36.8,37.2,378,352,293,14,34,0.906,13,11,9,93,727,0.36,4.8,7.7
Scots Pine,8,100,340,23.7,37.7,37.9,390,365,309,10,34.9,1.01,10,9,7,94.7,749,0.31,4,7.5
Scots Pine,6,25,4393,6.7,7.8,21.2,41,0,0,0,0,0,0,0,0,21.2,41,0.94,4.5,1.6
Scots Pine,6,30,3830,8.2,8.7,23,61,0,0,563,8.5,0.013,7,0,0,26.2,68,1.06,6.2,2.3
Scots Pine,6,35,2494,9.8,10,19.6,74,0,0,1336,9.2,0.016,21,0,0,31.8,103,1.13,7.5,2.9
Scots Pine,6,40,1834,11.2,11.7,19.8,94,1,0,660,10.4,0.032,21,0,0,37.5,143,1.15,8.5,3.6
Scots Pine,6,45,1446,12.5,13.7,21.3,117,6,0,388,11.8,0.054,21,0,0,43.2,187,1.12,9,4.2
Scots Pine,6,50,1191,13.8,15.7,23.2,142,17,0,255,13.4,0.082,21,1,0,48.7,233,1.05,9.2,4.7
Scots Pine,6,55,1010,14.9,17.8,25,167,40,2,181,15,0.116,21,2,0,53.8,279,0.98,9.1,5.1
Scots Pine,6,60,875,15.9,19.7,26.8,191,75,11,135,16.7,0.156,21,4,0,58.5,324,0.9,8.9,5.4
Scots Pine,6,65,771,16.9,21.6,28.3,213,112,25,104,18.4,0.203,21,6,1,62.8,367,0.82,8.5,5.7
Scots Pine,6,70,689,17.7,23.4,29.6,233,146,44,82,20.1,0.254,21,9,1,66.7,408,0.74,7.9,5.8
Scots Pine,6,75,622,18.4,25,30.6,250,176,69,67,21.6,0.312,21,11,2,70.2,446,0.65,7.1,5.9
Scots Pine,6,80,572,19,26.5,31.5,265,200,95,50,23.1,0.368,19,11,3,73.2,480,0.55,6.3,6
Scots Pine,6,85,535,19.6,27.7,32.3,279,221,119,37,24.4,0.418,16,11,4,75.7,509,0.46,5.5,6
Scots Pine,6,90,506,20.1,28.8,32.9,291,238,140,29,25.5,0.45,13,9,4,77.8,534,0.39,4.7,5.9
Scots Pine,6,95,485,20.5,29.7,33.5,302,253,159,21,26.4,0.505,10,8,4,79.6,556,0.32,4,5.9
Scots Pine,6,100,471,20.8,30.4,34.2,312,266,176,14,27.2,0.558,8,6,3,81.1,574,0.28,3.3,5.7
Scots Pine,4,30,4467,5.9,6.5,14.6,23,0,0,0,0,0,0,0,0,14.6,23,0.77,2.8,0.8
Scots Pine,4,35,4325,7.3,7.5,18.9,42,0,0,142,0,0,0,0,0,18.9,42,0.9,4.2,1.2
Scots Pine,4,40,2897,8.6,8.4,16.2,51,0,0,1428,8.1,0.01,14,0,0,23.6,65,0.98,5.2,1.6
Scots Pine,4,45,2179,9.8,9.9,16.7,66,0,0,718,9.1,0.02,14,0,0,28.7,94,1.02,6.1,2.1
Scots Pine,4,50,1768,11,11.5,18.4,83,0,0,411,10.2,0.034,14,0,0,33.8,125,1.01,6.6,2.5
Scots Pine,4,55,1496,12,13.2,20.5,103,4,0,272,11.5,0.052,14,0,0,38.8,159,0.94,6.8,2.9
Scots Pine,4,60,1297,12.9,14.9,22.5,123,11,0,199,12.7,0.07,14,0,0,43.2,193,0.85,6.7,3.2
Scots Pine,4,65,1142,13.8,16.4,24.1,142,22,0,155,13.9,0.09,14,1,0,47.2,226,0.75,6.4,3.5
Scots Pine,4,70,1019,14.6,17.8,25.4,159,39,2,123,15.1,0.113,14,1,0,50.7,257,0.66,6,3.7
